campaign_id,campaign_name,advertiser_id,agency_id,platform_id,segment_id,status,start_date,end_date,target_impressions,cpm_usd
CMP-049,Uber — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-049,AGN-008,PLT-005,SEG-103,Active,2024-06-24,2025-03-07,143267045,27.34
CMP-050,Lyft — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-050,AGN-010,PLT-010,SEG-110,Active,2024-06-25,2025-03-31,151454601,36.24
CMP-051,Coca-Cola — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-051,AGN-012,PLT-015,SEG-117,Active,2024-06-26,2025-03-30,167743499,31.92
CMP-052,Samsung — Eurosport International — Males 18–34 Q2 Package,ADV-052,AGN-014,PLT-020,SEG-004,Active,2024-06-27,2025-03-29,27024786,36.94
CMP-053,Geico — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-053,AGN-016,PLT-005,SEG-011,Active,2024-06-28,2025-03-28,103001994,25.73
CMP-054,Nike — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-054,AGN-018,PLT-010,SEG-018,Active,2024-06-29,2025-03-27,44407066,25.15
CMP-055,Apple — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-055,AGN-020,PLT-015,SEG-025,Active,2024-06-30,2025-03-26,156290789,19.76
CMP-056,Toyota — Eurosport International — Young Adults 18–29 Q3 Flight,ADV-056,AGN-022,PLT-020,SEG-032,Active,2024-07-01,2025-03-25,67136796,41.02
CMP-057,McDonald's — Discovery+ Premium Streaming — Auto Intenders 25–54 Q3 Flight,ADV-057,AGN-024,PLT-005,SEG-039,Active,2024-07-02,2025-03-24,146619841,40.2
CMP-058,Verizon — truTV Comedy Block — Travel Decision-Makers 30–55 Q3 Flight,ADV-058,AGN-026,PLT-010,SEG-046,Active,2024-07-03,2025-03-23,89528959,39.1
CMP-059,Amazon — TLC Prime Time Linear — Cord-Cutters 18–44 Q3 Flight,ADV-059,AGN-028,PLT-015,SEG-053,Active,2024-07-04,2025-03-22,117355686,14.9
CMP-060,Microsoft — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-060,AGN-030,PLT-020,SEG-060,Active,2024-06-15,2025-03-21,128410413,16.39
CMP-061,Procter & Gamble — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-061,AGN-002,PLT-005,SEG-067,Active,2024-06-16,2025-03-20,21766833,14.77
CMP-062,Unilever — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-062,AGN-004,PLT-010,SEG-074,Active,2024-06-17,2025-03-19,139126217,29.42
CMP-063,AT&T — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-063,AGN-006,PLT-015,SEG-081,Active,2024-06-18,2025-03-18,40297742,30.3
CMP-064,T-Mobile — Eurosport International — Males 18–34 Q2 Package,ADV-064,AGN-008,PLT-020,SEG-088,Active,2024-06-19,2025-03-17,71362740,19.44
CMP-065,Ford — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-065,AGN-010,PLT-005,SEG-095,Active,2024-06-20,2025-03-16,29988079,34.56
CMP-066,Chevrolet — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-066,AGN-012,PLT-010,SEG-102,Active,2024-06-21,2025-03-15,90084700,32.05
CMP-067,BMW — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-067,AGN-014,PLT-015,SEG-109,Active,2024-06-22,2025-03-14,113898737,16.64
CMP-068,Audi — Eurosport International — Young Adults 18–29 Q2 Package,ADV-068,AGN-016,PLT-020,SEG-116,Active,2024-06-23,2025-03-13,102139142,31.94
CMP-069,Budweiser — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-069,AGN-018,PLT-005,SEG-003,Active,2024-06-24,2025-03-12,172158076,35.09
CMP-070,Pepsi — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-070,AGN-020,PLT-010,SEG-010,Active,2024-06-25,2025-03-11,150067269,32.69
CMP-071,Gatorade — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-071,AGN-022,PLT-015,SEG-017,Active,2024-06-26,2025-03-10,54202437,28.37
CMP-072,State Farm — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-072,AGN-024,PLT-020,SEG-024,Active,2024-06-27,2025-03-09,144965549,29.64
CMP-073,Progressive — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-073,AGN-026,PLT-005,SEG-031,Active,2024-06-28,2025-03-08,178561020,38.28
CMP-074,Allstate — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-074,AGN-028,PLT-010,SEG-038,Active,2024-06-29,2025-03-07,153485116,20.72
CMP-075,Capital One — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-075,AGN-030,PLT-015,SEG-045,Active,2024-06-30,2025-03-31,130146678,32.06
CMP-076,Chase — Eurosport International — Males 18–34 Q3 Flight,ADV-076,AGN-002,PLT-020,SEG-052,Active,2024-07-01,2025-03-30,54331700,35.5
CMP-077,American Express — Discovery+ Premium Streaming — Connected TV Households Q3 Flight,ADV-077,AGN-004,PLT-005,SEG-059,Active,2024-07-02,2025-03-29,175311013,21.18
CMP-078,Visa — truTV Comedy Block — Premium Audiences 35–54 Q3 Flight,ADV-078,AGN-006,PLT-010,SEG-066,Active,2024-07-03,2025-03-28,128605916,23.71
CMP-079,Mastercard — TLC Prime Time Linear — Families 25–44 Q3 Flight,ADV-079,AGN-008,PLT-015,SEG-073,Active,2024-07-04,2025-03-27,57872409,27.6
CMP-080,Target — Eurosport International — Young Adults 18–29 Q2 Package,ADV-080,AGN-010,PLT-020,SEG-080,Active,2024-06-15,2025-03-26,70800478,23.28
CMP-081,Walmart — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-081,AGN-012,PLT-005,SEG-087,Active,2024-06-16,2025-03-25,46490112,23.68
CMP-082,Home Depot — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-082,AGN-014,PLT-010,SEG-094,Active,2024-06-17,2025-03-24,37712110,13.54
CMP-083,Lowe's — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-083,AGN-016,PLT-015,SEG-101,Active,2024-06-18,2025-03-23,111151892,31.39
CMP-084,Best Buy — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-084,AGN-018,PLT-020,SEG-108,Active,2024-06-19,2025-03-22,24923014,12.77
CMP-085,Expedia — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-085,AGN-020,PLT-005,SEG-115,Active,2024-06-20,2025-03-21,145781832,21.83
CMP-086,Booking.com — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-086,AGN-022,PLT-010,SEG-002,Active,2024-06-21,2025-03-20,99516256,25.5
CMP-087,Delta Air Lines — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-087,AGN-024,PLT-015,SEG-009,Active,2024-06-22,2025-03-19,50580775,26.93
CMP-088,American Airlines — Eurosport International — Males 18–34 Q2 Package,ADV-088,AGN-026,PLT-020,SEG-016,Active,2024-06-23,2025-03-18,143247369,29.15
CMP-089,Marriott — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-089,AGN-028,PLT-005,SEG-023,Active,2024-06-24,2025-03-17,63830952,16.62
CMP-090,Hilton — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-090,AGN-030,PLT-010,SEG-030,Active,2024-06-25,2025-03-16,157482748,18.21
CMP-091,Subway — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-091,AGN-002,PLT-015,SEG-037,Active,2024-06-26,2025-03-15,108306751,25.76
CMP-092,Domino's — Eurosport International — Young Adults 18–29 Q2 Package,ADV-092,AGN-004,PLT-020,SEG-044,Active,2024-06-27,2025-03-14,80633106,32.35
CMP-093,KFC — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-093,AGN-006,PLT-005,SEG-051,Active,2024-06-28,2025-03-13,36658538,28.42
CMP-094,Burger King — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-094,AGN-008,PLT-010,SEG-058,Active,2024-06-29,2025-03-12,27167792,17.86
CMP-095,Starbucks — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-095,AGN-010,PLT-015,SEG-065,Active,2024-06-30,2025-03-11,64537020,13.36
CMP-096,Dunkin' — Eurosport International — Sports Enthusiasts 21–45 Q3 Flight,ADV-096,AGN-012,PLT-020,SEG-072,Active,2024-07-01,2025-03-10,164234626,39.93
CMP-097,Spotify — Discovery+ Premium Streaming — US Adults 25–54 Q3 Flight,ADV-097,AGN-014,PLT-005,SEG-079,Active,2024-07-02,2025-03-09,30935223,25.55
CMP-098,YouTube Premium — truTV Comedy Block — Sports Fans 18–34 Q3 Flight,ADV-098,AGN-016,PLT-010,SEG-086,Active,2024-07-03,2025-03-08,68607947,26.52
CMP-099,Uber — TLC Prime Time Linear — Women 25–49 Q3 Flight,ADV-099,AGN-018,PLT-015,SEG-093,Active,2024-07-04,2025-03-07,23494828,15.87
CMP-100,Lyft — Eurosport International — Males 18–34 Q2 Package,ADV-100,AGN-020,PLT-020,SEG-100,Active,2024-06-15,2025-03-31,160253761,18.56
CMP-101,Coca-Cola — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-101,AGN-022,PLT-005,SEG-107,Active,2024-06-16,2025-03-30,156741578,38.84
CMP-102,Samsung — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-102,AGN-024,PLT-010,SEG-114,Active,2024-06-17,2025-03-29,54969403,16.81
CMP-103,Geico — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-103,AGN-026,PLT-015,SEG-001,Active,2024-06-18,2025-03-28,67930396,23.7
CMP-104,Nike — Eurosport International — Young Adults 18–29 Q2 Package,ADV-104,AGN-028,PLT-020,SEG-008,Active,2024-06-19,2025-03-27,132180168,27.99
CMP-105,Apple — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-105,AGN-030,PLT-005,SEG-015,Active,2024-06-20,2025-03-26,39114814,23.5
CMP-106,Toyota — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-106,AGN-002,PLT-010,SEG-022,Active,2024-06-21,2025-03-25,68250791,22.32
CMP-107,McDonald's — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-107,AGN-004,PLT-015,SEG-029,Active,2024-06-22,2025-03-24,88717626,25.92
CMP-108,Verizon — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-108,AGN-006,PLT-020,SEG-036,Active,2024-06-23,2025-03-23,129598656,20.63
CMP-109,Amazon — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-109,AGN-008,PLT-005,SEG-043,Active,2024-06-24,2025-03-22,65502950,21.77
CMP-110,Microsoft — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-110,AGN-010,PLT-010,SEG-050,Active,2024-06-25,2025-03-21,147400058,25.34
CMP-111,Procter & Gamble — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-111,AGN-012,PLT-015,SEG-057,Active,2024-06-26,2025-03-20,159533090,35.9
CMP-112,Unilever — Eurosport International — Males 18–34 Q2 Package,ADV-112,AGN-014,PLT-020,SEG-064,Active,2024-06-27,2025-03-19,91506397,36.48
CMP-113,AT&T — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-113,AGN-016,PLT-005,SEG-071,Active,2024-06-28,2025-03-18,75534036,18.94
CMP-114,T-Mobile — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-114,AGN-018,PLT-010,SEG-078,Active,2024-06-29,2025-03-17,42996600,38.36
CMP-115,Ford — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-115,AGN-020,PLT-015,SEG-085,Active,2024-06-30,2025-03-16,106702390,24.24
CMP-116,Chevrolet — Eurosport International — Young Adults 18–29 Q3 Flight,ADV-116,AGN-022,PLT-020,SEG-092,Active,2024-07-01,2025-03-15,66976440,40.84
CMP-117,BMW — Discovery+ Premium Streaming — Auto Intenders 25–54 Q3 Flight,ADV-117,AGN-024,PLT-005,SEG-099,Active,2024-07-02,2025-03-14,112475901,37.4
CMP-118,Audi — truTV Comedy Block — Travel Decision-Makers 30–55 Q3 Flight,ADV-118,AGN-026,PLT-010,SEG-106,Active,2024-07-03,2025-03-13,112409213,28.86
CMP-119,Budweiser — TLC Prime Time Linear — Cord-Cutters 18–44 Q3 Flight,ADV-119,AGN-028,PLT-015,SEG-113,Active,2024-07-04,2025-03-12,171634266,35.75
CMP-120,Pepsi — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-120,AGN-030,PLT-020,SEG-120,Active,2024-06-15,2025-03-11,76127670,15.29
CMP-121,Gatorade — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-121,AGN-002,PLT-005,SEG-007,Active,2024-06-16,2025-03-10,93288703,28.67
CMP-122,State Farm — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-122,AGN-004,PLT-010,SEG-014,Active,2024-06-17,2025-03-09,170482483,33.93
CMP-123,Progressive — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-123,AGN-006,PLT-015,SEG-021,Active,2024-06-18,2025-03-08,170963923,20.84
CMP-124,Allstate — Eurosport International — Males 18–34 Q2 Package,ADV-124,AGN-008,PLT-020,SEG-028,Active,2024-06-19,2025-03-07,89967734,32.11
CMP-125,Capital One — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-125,AGN-010,PLT-005,SEG-035,Active,2024-06-20,2025-03-31,53599417,15.04
CMP-126,Chase — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-126,AGN-012,PLT-010,SEG-042,Active,2024-06-21,2025-03-30,88789844,14.89
CMP-127,American Express — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-127,AGN-014,PLT-015,SEG-049,Active,2024-06-22,2025-03-29,135052052,17.14
CMP-128,Visa — Eurosport International — Young Adults 18–29 Q2 Package,ADV-128,AGN-016,PLT-020,SEG-056,Active,2024-06-23,2025-03-28,34220511,34.77
CMP-129,Mastercard — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-129,AGN-018,PLT-005,SEG-063,Active,2024-06-24,2025-03-27,67793484,31.38
CMP-130,Target — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-130,AGN-020,PLT-010,SEG-070,Active,2024-06-25,2025-03-26,46540064,27.2
CMP-131,Walmart — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-131,AGN-022,PLT-015,SEG-077,Active,2024-06-26,2025-03-25,92299194,29.64
CMP-132,Home Depot — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-132,AGN-024,PLT-020,SEG-084,Active,2024-06-27,2025-03-24,35157061,20.73
CMP-133,Lowe's — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-133,AGN-026,PLT-005,SEG-091,Active,2024-06-28,2025-03-23,102450275,16.84
CMP-134,Best Buy — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-134,AGN-028,PLT-010,SEG-098,Active,2024-06-29,2025-03-22,86752784,13.89
CMP-135,Expedia — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-135,AGN-030,PLT-015,SEG-105,Active,2024-06-30,2025-03-21,128499397,37.99
CMP-136,Booking.com — Eurosport International — Males 18–34 Q3 Flight,ADV-136,AGN-002,PLT-020,SEG-112,Active,2024-07-01,2025-03-20,86999195,24.44
CMP-137,Delta Air Lines — Discovery+ Premium Streaming — Connected TV Households Q3 Flight,ADV-137,AGN-004,PLT-005,SEG-119,Active,2024-07-02,2025-03-19,22141957,13.72
CMP-138,American Airlines — truTV Comedy Block — Premium Audiences 35–54 Q3 Flight,ADV-138,AGN-006,PLT-010,SEG-006,Active,2024-07-03,2025-03-18,81142832,12.69
CMP-139,Marriott — TLC Prime Time Linear — Families 25–44 Q3 Flight,ADV-139,AGN-008,PLT-015,SEG-013,Active,2024-07-04,2025-03-17,51023015,14.82
CMP-140,Hilton — Eurosport International — Young Adults 18–29 Q2 Package,ADV-140,AGN-010,PLT-020,SEG-020,Active,2024-06-15,2025-03-16,168640141,29.29
CMP-141,Subway — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-141,AGN-012,PLT-005,SEG-027,Active,2024-06-16,2025-03-15,112034771,21.45
CMP-142,Domino's — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-142,AGN-014,PLT-010,SEG-034,Active,2024-06-17,2025-03-14,140418569,30.22
CMP-143,KFC — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-143,AGN-016,PLT-015,SEG-041,Active,2024-06-18,2025-03-13,28203461,39.74
CMP-144,Burger King — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-144,AGN-018,PLT-020,SEG-048,Active,2024-06-19,2025-03-12,102842710,30.23
CMP-145,Starbucks — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-145,AGN-020,PLT-005,SEG-055,Active,2024-06-20,2025-03-11,177466081,25.88
CMP-146,Dunkin' — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-146,AGN-022,PLT-010,SEG-062,Active,2024-06-21,2025-03-10,50061999,32.59
CMP-147,Spotify — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-147,AGN-024,PLT-015,SEG-069,Active,2024-06-22,2025-03-09,152556435,32.44
CMP-148,YouTube Premium — Eurosport International — Males 18–34 Q2 Package,ADV-148,AGN-026,PLT-020,SEG-076,Active,2024-06-23,2025-03-08,85532339,23.67
CMP-149,Uber — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-149,AGN-028,PLT-005,SEG-083,Active,2024-06-24,2025-03-07,113648361,13.73
CMP-150,Lyft — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-150,AGN-030,PLT-010,SEG-090,Active,2024-06-25,2025-03-31,135236864,38.35
CMP-151,Coca-Cola — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-151,AGN-002,PLT-015,SEG-097,Active,2024-06-26,2025-03-30,93546040,32.86
CMP-152,Samsung — Eurosport International — Young Adults 18–29 Q2 Package,ADV-152,AGN-004,PLT-020,SEG-104,Active,2024-06-27,2025-03-29,95727014,33.81
CMP-153,Geico — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-153,AGN-006,PLT-005,SEG-111,Active,2024-06-28,2025-03-28,50833745,20.91
CMP-154,Nike — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-154,AGN-008,PLT-010,SEG-118,Active,2024-06-29,2025-03-27,129840011,21.57
CMP-155,Apple — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-155,AGN-010,PLT-015,SEG-005,Active,2024-06-30,2025-03-26,23441211,28.26
CMP-156,Toyota — Eurosport International — Sports Enthusiasts 21–45 Q3 Flight,ADV-156,AGN-012,PLT-020,SEG-012,Active,2024-07-01,2025-03-25,109934807,17.92
